,Version,Owner_type,Year,Mileage,Price,Phone,Argus,Area,Benefit Buyer
62,,private,2018,1000.0,13200.0,,,IDF,
63,INTENS,pro,2016,20152.0,11880.0,0144740808,12652.0,IDF,772.0
64,LIFE,pro,2015,15383.0,10690.0,0175448151,11656.0,IDF,966.0
65,LIFE,pro,2014,51692.0,7900.0,0635596001,9768.0,IDF,1868.0
66,LIFE,pro,2015,26500.0,8990.0,0170425853,11656.0,IDF,2666.0
67,LIFE,pro,2014,9090.0,9100.0,0148104345,9768.0,IDF,668.0
68,INTENS,pro,2018,5000.0,24500.0,0149203881,,IDF,
69,LIFE,pro,2018,100.0,14900.0,0175448151,,IDF,
70,LIFE,pro,2017,500.0,11990.0,0161123085,13611.0,IDF,1621.0
71,LIFE,pro,2017,100.0,11990.0,0161123085,13611.0,IDF,1621.0
72,INTENS,pro,2018,1.0,18780.0,0175185658,,IDF,
73,INTENS,pro,2018,1.0,17680.0,0175185658,,IDF,
74,INTENS,pro,2018,1.0,17980.0,0175185658,,IDF,
75,ZEN,private,2015,20500.0,9300.0,,11656.0,IDF,2356.0
76,INTENS,pro,2015,28653.0,9300.0,,11656.0,IDF,2356.0
77,INTENS,pro,2018,1.0,18480.0,0175185658,,IDF,
78,INTENS,pro,2018,1.0,17980.0,0175185658,,IDF,
79,ZEN,pro,2014,36798.0,9600.0,0175448151,9768.0,IDF,168.0
80,LIFE,pro,2015,25837.0,10400.0,0175448151,11656.0,IDF,1256.0
81,LIFE,pro,2015,9790.0,10480.0,0178769522,11656.0,IDF,1176.0
82,LIFE,pro,2015,34617.0,8980.0,0178769520,11656.0,IDF,2676.0
83,ZEN,pro,2015,33574.0,9100.0,,11656.0,IDF,2556.0
84,INTENS,pro,2018,1.0,18680.0,0175185658,,IDF,
85,INTENS,pro,2016,17638.0,11700.0,,12652.0,IDF,952.0
86,LIFE,pro,2014,21540.0,8980.0,0175834054,9768.0,IDF,788.0
87,LIFE,pro,2016,7981.0,8980.0,0178769523,12652.0,IDF,3672.0
88,LIFE,pro,2015,29400.0,8600.0,0175909581,11656.0,IDF,3056.0
89,LIFE,pro,2015,22968.0,10480.0,0178769522,11656.0,IDF,1176.0
90,LIFE,pro,2015,32291.0,8700.0,0161123085,11656.0,IDF,2956.0
91,LIFE,pro,2015,39270.0,8700.0,0161123085,11656.0,IDF,2956.0
92,LIFE,pro,2016,28851.0,9800.0,0161123085,12652.0,IDF,2852.0
93,LIFE,pro,2014,51692.0,7900.0,0161123085,9768.0,IDF,1868.0
94,ZEN,pro,2014,40644.0,7190.0,0164572000,9768.0,IDF,2578.0
95,ZEN,pro,2015,32804.0,9100.0,0161123085,11656.0,IDF,2556.0
96,INTENS,pro,2013,25000.0,9300.0,0175448159,8851.0,IDF,-449.0
97,LIFE,pro,2014,31275.0,8500.0,0169161526,9768.0,IDF,1268.0
98,ZEN,pro,2015,39477.0,9100.0,0161123085,11656.0,IDF,2556.0
99,LIFE,pro,2015,16043.0,8990.0,0183757292,11656.0,IDF,2666.0
100,LIFE,pro,2016,5100.0,9900.0,,12652.0,IDF,2752.0
101,ZEN,pro,2017,8024.0,12750.0,0176420120,13611.0,IDF,861.0
102,LIFE,pro,2014,26664.0,9100.0,0160926972,9768.0,IDF,668.0
103,INTENS,pro,2014,17807.0,9600.0,0175448159,9768.0,IDF,168.0
104,INTENS,pro,2015,23128.0,9300.0,,11656.0,IDF,2356.0
105,LIFE,pro,2014,23441.0,9990.0,0164767445,9768.0,IDF,-222.0
106,LIFE,pro,2014,13274.0,9600.0,0805805802,9768.0,IDF,168.0
107,ZEN,pro,2015,33579.0,8800.0,0147613859,11656.0,IDF,2856.0
108,ZEN,pro,2015,15277.0,9700.0,,11656.0,IDF,1956.0
109,ZEN,pro,2015,18422.0,9700.0,0147613859,11656.0,IDF,1956.0
110,LIFE,pro,2014,43466.0,9600.0,0677372750,9768.0,IDF,168.0
111,ZEN,private,2016,18200.0,9990.0,,12652.0,IDF,2662.0
112,INTENS,private,2015,22000.0,9900.0,,11656.0,IDF,1756.0
113,ZEN,pro,2018,3000.0,19000.0,0149203881,,IDF,
114,INTENS,pro,2014,37200.0,9480.0,0185500387,9768.0,IDF,288.0
115,INTENS,pro,2015,14302.0,9900.0,,11656.0,IDF,1756.0
116,INTENS,pro,2014,23119.0,9600.0,,9768.0,IDF,168.0
117,ZEN,pro,2015,43629.0,8250.0,0161123085,11656.0,IDF,3406.0
118,ZEN,pro,2015,23678.0,9400.0,0161123085,11656.0,IDF,2256.0
119,INTENS,pro,2017,100.0,15490.0,0175448159,13611.0,IDF,-1879.0
120,INTENS,pro,2014,32233.0,9100.0,0147613859,9768.0,IDF,668.0
121,,pro,2018,100.0,19650.0,0149203881,,IDF,
122,INTENS,private,2015,5000.0,11000.0,,11656.0,IDF,656.0
123,LIFE,pro,2014,56233.0,7900.0,0169537712,9768.0,IDF,1868.0
124,LIFE,pro,2015,10614.0,8990.0,0146675680,11656.0,IDF,2666.0
125,LIFE,pro,2014,41416.0,8200.0,0169537712,9768.0,IDF,1568.0
126,LIFE,pro,2014,50028.0,7900.0,0169537712,9768.0,IDF,1868.0
127,LIFE,pro,2014,35584.0,8900.0,,9768.0,IDF,868.0
128,ZEN,pro,2014,13270.0,8990.0,,9768.0,IDF,778.0
129,INTENS,pro,2017,3500.0,19000.0,0149203881,13611.0,IDF,-5389.0
130,INTENS,pro,2016,6521.0,11900.0,,12652.0,IDF,752.0
131,ZEN,pro,2016,18680.0,10700.0,0185470460,12652.0,IDF,1952.0
132,ZEN,pro,2015,22945.0,9400.0,0146675680,11656.0,IDF,2256.0
133,LIFE,pro,2015,27347.0,8900.0,0147613859,11656.0,IDF,2756.0
134,LIFE,pro,2015,12904.0,8490.0,,11656.0,IDF,3166.0
135,LIFE,pro,2015,7415.0,9100.0,,11656.0,IDF,2556.0
136,LIFE,pro,2015,30486.0,8700.0,0146675680,11656.0,IDF,2956.0
137,LIFE,pro,2013,76163.0,6990.0,,8851.0,IDF,1861.0
138,ZEN,pro,2015,38000.0,8490.0,,11656.0,IDF,3166.0
139,INTENS,pro,2015,8366.0,10200.0,,11656.0,IDF,1456.0
140,ZEN,pro,2015,55665.0,8500.0,,11656.0,IDF,3156.0
141,LIFE,pro,2014,33086.0,9200.0,0175448151,9768.0,IDF,568.0
142,LIFE,pro,2015,4131.0,10400.0,0175448151,9716.0,IDF,-684.0
143,INTENS,pro,2013,17308.0,9880.0,0175185658,8851.0,IDF,-1029.0
144,INTENS,pro,2015,40143.0,9300.0,0149203881,11656.0,IDF,2356.0
145,INTENS,pro,2015,34402.0,9300.0,0148104345,11656.0,IDF,2356.0
146,INTENS,pro,2014,42961.0,9000.0,0148104345,9768.0,IDF,768.0
147,ZEN,pro,2016,100.0,12900.0,0148104345,12652.0,IDF,-248.0
148,LIFE,pro,2014,17434.0,8900.0,0160735567,9768.0,IDF,868.0
149,ZEN,pro,2014,15020.0,10100.0,0175448151,9768.0,IDF,-332.0
150,INTENS,pro,2017,1000.0,14490.0,0175448159,13611.0,IDF,-879.0
151,LIFE,pro,2015,46239.0,9400.0,0175448151,11656.0,IDF,2256.0
152,LIFE,pro,2016,21942.0,9490.0,0677372750,12652.0,IDF,3162.0
153,INTENS,pro,2018,1000.0,19000.0,0175448164,,IDF,
154,INTENS,pro,2018,1000.0,18900.0,0175448164,,IDF,
155,INTENS,pro,2015,44881.0,9900.0,0175448151,11656.0,IDF,1756.0
156,ZEN,pro,2014,35285.0,8980.0,0805805802,9768.0,IDF,788.0
157,LIFE,pro,2015,37717.0,8700.0,0147613859,11656.0,IDF,2956.0
158,ZEN,pro,2014,27708.0,9970.0,,9768.0,IDF,-202.0
159,ZEN,pro,2015,38356.0,9100.0,0147613859,11656.0,IDF,2556.0
160,ZEN,pro,2015,15071.0,9700.0,0147613859,11656.0,IDF,1956.0
161,INTENS,pro,2017,3500.0,17500.0,0149203881,13611.0,IDF,-3889.0
162,INTENS,pro,2018,1.0,18280.0,0175185658,,IDF,
163,LIFE,pro,2015,14485.0,10200.0,0175448151,11656.0,IDF,1456.0
164,INTENS,pro,2018,1.0,18780.0,0175185658,,IDF,
165,INTENS,pro,2018,1.0,17980.0,0175185658,,IDF,
166,ZEN,pro,2015,15153.0,10700.0,0175448151,11656.0,IDF,956.0
167,INTENS,pro,2018,1.0,18780.0,0175185658,,IDF,
168,INTENS,pro,2018,1.0,18980.0,0175185658,,IDF,
169,INTENS,pro,2015,37272.0,9300.0,0147613859,11656.0,IDF,2356.0
170,LIFE,pro,2015,15699.0,9200.0,0146675680,11656.0,IDF,2456.0
171,INTENS,pro,2014,35160.0,8190.0,0146675680,9768.0,IDF,1578.0
172,LIFE,pro,2015,14051.0,9200.0,0146675680,11656.0,IDF,2456.0
173,LIFE,pro,2014,34713.0,9890.0,0160058702,9768.0,IDF,-122.0
174,LIFE,pro,2015,31129.0,7990.0,0147613859,11656.0,IDF,3666.0
175,LIFE,pro,2013,72303.0,7800.0,0147613859,8851.0,IDF,1051.0
176,ZEN,pro,2016,20121.0,9900.0,0147613859,12652.0,IDF,2752.0
177,LIFE,pro,2015,20583.0,8290.0,0147613859,11656.0,IDF,3366.0
178,LIFE,pro,2016,5736.0,10500.0,0147613859,12652.0,IDF,2152.0
179,INTENS,pro,2015,31998.0,9300.0,0147613859,11656.0,IDF,2356.0
180,ZEN,pro,2015,28987.0,9400.0,0147613859,11656.0,IDF,2256.0
181,LIFE,pro,2015,32600.0,8400.0,0147613859,11656.0,IDF,3256.0
182,,private,2018,100.0,20000.0,,,IDF,
183,LIFE,pro,2015,37473.0,7990.0,0147613859,11656.0,IDF,3666.0
184,LIFE,pro,2015,35173.0,8700.0,0147613859,11656.0,IDF,2956.0
185,ZEN,pro,2015,22489.0,9400.0,0147613859,11656.0,IDF,2256.0
186,INTENS,pro,2013,13742.0,8990.0,0147613859,8851.0,IDF,-139.0
187,LIFE,pro,2015,4226.0,9400.0,0147613859,11656.0,IDF,2256.0
188,INTENS,pro,2014,30250.0,7990.0,0147613859,9768.0,IDF,1778.0
189,LIFE,pro,2016,17862.0,9700.0,0147613859,12652.0,IDF,2952.0
190,ZEN,pro,2016,10099.0,10700.0,0185470460,12652.0,IDF,1952.0
191,ZEN,pro,2018,5000.0,19990.0,0147613859,,IDF,
192,INTENS,pro,2018,100.0,20890.0,0147613859,,IDF,
193,ZEN,pro,2018,500.0,20290.0,0147613859,,IDF,
194,ZEN,pro,2018,5000.0,19990.0,0147613859,,IDF,
195,INTENS,pro,2016,17073.0,9900.0,0149203881,12652.0,IDF,2752.0
196,LIFE,pro,2016,15840.0,10700.0,0175448151,12652.0,IDF,1952.0
197,LIFE,pro,2014,41000.0,8480.0,0178769520,9768.0,IDF,1288.0
198,LIFE,pro,2015,23802.0,8900.0,0148104345,11656.0,IDF,2756.0
199,ZEN,pro,2014,30340.0,9500.0,,9768.0,IDF,268.0
200,ZEN,pro,2016,21711.0,10900.0,,12652.0,IDF,1752.0
201,ZEN,pro,2013,27436.0,8600.0,0186265492,8851.0,IDF,251.0
202,INTENS,pro,2015,27773.0,9600.0,0146675680,11656.0,IDF,2056.0
203,LIFE,pro,2014,13054.0,8990.0,0149203881,9768.0,IDF,778.0
204,INTENS,pro,2014,4450.0,10300.0,0149203881,9768.0,IDF,-532.0
205,ZEN,pro,2016,14404.0,11400.0,0149203881,12652.0,IDF,1252.0
206,LIFE,pro,2016,2599.0,10990.0,0181664838,12652.0,IDF,1662.0
207,ZEN,pro,2015,36121.0,9490.0,0149203881,11656.0,IDF,2166.0
208,LIFE,pro,2015,22001.0,9190.0,0175185658,11656.0,IDF,2466.0
209,EDITION,pro,2018,3500.0,19990.0,0622127184,,IDF,
210,ZEN,pro,2016,10696.0,11200.0,,12652.0,PACA,1452.0
211,LIFE,pro,2015,13614.0,8900.0,0413682796,11656.0,PACA,2756.0
212,LIFE,pro,2015,59000.0,9490.0,,11656.0,PACA,2166.0
213,INTENS,pro,2015,33900.0,9490.0,,11656.0,PACA,2166.0
214,,private,2017,16631.0,10500.0,,13611.0,PACA,3111.0
215,LIFE,pro,2014,45209.0,9990.0,0490111515,9768.0,PACA,-222.0
216,ZEN,pro,2017,34555.0,12990.0,0465100131,13611.0,PACA,621.0
217,ZEN,pro,2014,33000.0,9500.0,0612309424,9768.0,PACA,268.0
218,ZEN,pro,2018,7000.0,19900.0,,,PACA,
219,ZEN,private,2016,10975.0,12400.0,,12652.0,PACA,252.0
220,INTENS,pro,2014,79765.0,7490.0,0618402010,9768.0,PACA,2278.0
221,INTENS,pro,2015,30506.0,9490.0,0422170093,11656.0,PACA,2166.0
222,,private,2013,49500.0,8600.0,,8851.0,PACA,251.0
223,ZEN,pro,2014,38573.0,8800.0,,9768.0,PACA,968.0
224,LIFE,pro,2014,64513.0,6990.0,0805805802,9768.0,PACA,2778.0
225,ZEN,pro,2015,27912.0,9490.0,0422170122,11656.0,PACA,2166.0
226,LIFE,pro,2015,37869.0,8900.0,0422170122,11656.0,PACA,2756.0
227,LIFE,pro,2015,24808.0,9600.0,0465090062,11656.0,PACA,2056.0
228,LIFE,pro,2015,24808.0,9600.0,0490949999,11656.0,PACA,2056.0
229,LIFE,pro,2015,43065.0,8490.0,0490138800,11656.0,PACA,3166.0
230,LIFE,pro,2015,54510.0,8490.0,0465100131,11656.0,PACA,3166.0
231,LIFE,pro,2015,12925.0,8990.0,0490138800,11656.0,PACA,2666.0
232,INTENS,pro,2014,43644.0,9990.0,0490111515,9768.0,PACA,-222.0
233,LIFE,pro,2017,6614.0,11990.0,0618402010,13611.0,PACA,1621.0
234,LIFE,pro,2015,61100.0,8290.0,0465100131,11656.0,PACA,3366.0
235,LIFE,pro,2014,15419.0,8900.0,0413680177,9768.0,PACA,868.0
236,,private,2016,30000.0,14300.0,,12652.0,PACA,-1648.0
237,LIFE,pro,2015,33059.0,8800.0,,11656.0,PACA,2856.0
238,LIFE,pro,2015,36544.0,8800.0,,11656.0,PACA,2856.0
239,INTENS,pro,2016,27476.0,11290.0,0805805802,12652.0,PACA,1362.0
240,LIFE,pro,2015,40540.0,9290.0,0805805802,11656.0,PACA,2366.0
241,LIFE,pro,2014,54000.0,8390.0,0805805802,9768.0,PACA,1378.0
242,ZEN,pro,2015,26480.0,9400.0,0422170164,11656.0,PACA,2256.0
243,LIFE,pro,2015,41137.0,8490.0,0422170093,11656.0,PACA,3166.0
244,INTENS,pro,2014,51274.0,9900.0,0618402010,9768.0,PACA,-132.0
245,ZEN,pro,2015,21245.0,9900.0,0490949999,11656.0,PACA,1756.0
246,ZEN,pro,2015,21245.0,9900.0,0465090062,11656.0,PACA,1756.0
247,INTENS,pro,2014,33418.0,9100.0,0422170181,9768.0,PACA,668.0
248,INTENS,pro,2014,35222.0,9290.0,0465030696,9768.0,PACA,478.0
249,ZEN,pro,2015,43498.0,8990.0,0465030696,11656.0,PACA,2666.0
250,LIFE,pro,2014,24770.0,8490.0,0465030696,9768.0,PACA,1278.0
251,ZEN,pro,2014,45900.0,8490.0,0422170102,9768.0,PACA,1278.0
252,LIFE,pro,2015,17765.0,8900.0,0413682796,11656.0,PACA,2756.0
253,LIFE,pro,2015,16896.0,8900.0,0413680177,11656.0,PACA,2756.0
254,LIFE,pro,2014,37465.0,8400.0,0413680177,9768.0,PACA,1368.0
255,LIFE,pro,2015,17923.0,9400.0,0427194572,11656.0,PACA,2256.0
256,INTENS,pro,2015,12500.0,9990.0,0422170102,11656.0,PACA,1666.0
257,,private,2013,67000.0,6990.0,,8851.0,PACA,1861.0
258,INTENS,pro,2015,22795.0,10300.0,,11656.0,PACA,1356.0
259,INTENS,pro,2015,19614.0,9990.0,0422170093,11656.0,PACA,1666.0
260,LIFE,pro,2015,22051.0,9000.0,0422170110,11656.0,PACA,2656.0
261,LIFE,pro,2015,31076.0,8700.0,0422170181,11656.0,PACA,2956.0
262,ZEN,pro,2014,25300.0,8990.0,0413680177,9768.0,PACA,778.0
263,LIFE,pro,2015,36229.0,8700.0,0422170181,11656.0,PACA,2956.0
264,ZEN,pro,2015,48581.0,8600.0,0422170122,11656.0,PACA,3056.0
265,LIFE,pro,2014,28980.0,8600.0,0413680177,9768.0,PACA,1168.0
266,INTENS,pro,2014,32335.0,8790.0,0422170102,9768.0,PACA,978.0
267,LIFE,pro,2016,11000.0,10490.0,0422170102,12652.0,PACA,2162.0
268,INTENS,pro,2014,39223.0,9100.0,0413680177,9768.0,PACA,668.0
269,INTENS,pro,2016,30193.0,10780.0,0465090062,12652.0,PACA,1872.0
270,INTENS,pro,2016,30193.0,10780.0,0490949999,12652.0,PACA,1872.0
271,INTENS,pro,2015,14980.0,10500.0,0422170122,11656.0,PACA,1156.0
272,LIFE,pro,2015,58495.0,8290.0,0465100131,11656.0,PACA,3366.0
273,LIFE,pro,2015,37415.0,8700.0,0422170181,11656.0,PACA,2956.0
274,INTENS,pro,2014,40194.0,8490.0,0422170093,9768.0,PACA,1278.0
275,LIFE,pro,2015,13536.0,9490.0,0422170102,11656.0,PACA,2166.0
276,LIFE,private,2013,21000.0,8200.0,,8851.0,PACA,651.0
277,LIFE,pro,2015,38327.0,8700.0,0422170164,11656.0,PACA,2956.0
278,LIFE,private,2013,21000.0,8300.0,,8851.0,PACA,551.0
279,LIFE,pro,2014,52964.0,8490.0,0465080057,9768.0,PACA,1278.0
280,ZEN,pro,2014,57835.0,8490.0,0465080057,9768.0,PACA,1278.0
281,LIFE,pro,2016,27352.0,8700.0,0673895460,12652.0,PACA,3952.0
282,ZEN,pro,2014,26416.0,8490.0,0673895460,9768.0,PACA,1278.0
283,INTENS,pro,2014,28796.0,9300.0,,9768.0,PACA,468.0
284,LIFE,pro,2014,26211.0,7990.0,0618402010,9768.0,PACA,1778.0
285,INTENS,pro,2015,12483.0,9990.0,0422171005,11656.0,PACA,1666.0
286,LIFE,pro,2014,58764.0,7990.0,0465100131,9768.0,PACA,1778.0
287,LIFE,pro,2016,28793.0,9800.0,,12652.0,PACA,2852.0
288,INTENS,private,2014,45000.0,8500.0,,9768.0,PACA,1268.0
289,ZEN,pro,2013,27472.0,9600.0,0413682796,8851.0,PACA,-749.0
290,LIFE,pro,2016,26233.0,8990.0,0490138800,12652.0,PACA,3662.0
291,LIFE,pro,2015,12471.0,9200.0,0413682796,11656.0,PACA,2456.0
292,INTENS,pro,2015,30138.0,9490.0,0422170102,11656.0,PACA,2166.0
293,LIFE,pro,2015,26670.0,8990.0,0422170102,11656.0,PACA,2666.0
294,LIFE,pro,2015,13571.0,8990.0,0805805802,11656.0,PACA,2666.0
295,LIFE,private,2014,33907.0,7850.0,,9768.0,PACA,1918.0
296,ZEN,pro,2014,37557.0,8800.0,,9768.0,PACA,968.0
297,INTENS,pro,2015,22800.0,10490.0,,11656.0,PACA,1166.0
298,LIFE,pro,2015,13902.0,9800.0,,11656.0,PACA,1856.0
299,LIFE,pro,2015,9843.0,9990.0,0422171005,11656.0,PACA,1666.0
300,ZEN,private,2016,26000.0,16000.0,,12652.0,PACA,-3348.0
301,LIFE,pro,2015,24621.0,8900.0,0422170122,11656.0,PACA,2756.0
302,ZEN,pro,2014,19778.0,9300.0,0422170122,9768.0,PACA,468.0
303,INTENS,pro,2014,23810.0,9300.0,0422170164,9768.0,PACA,468.0
304,INTENS,pro,2016,23204.0,10500.0,0422170122,12652.0,PACA,2152.0
305,LIFE,pro,2015,13649.0,9400.0,0422170122,11656.0,PACA,2256.0
306,ZEN,pro,2015,6834.0,9900.0,,11656.0,PACA,1756.0
307,LIFE,pro,2015,22864.0,9300.0,0427194572,11656.0,PACA,2356.0
308,LIFE,pro,2015,37840.0,8990.0,0422171005,11656.0,PACA,2666.0
309,ZEN,pro,2015,4013.0,10490.0,0422170102,11656.0,PACA,1166.0
310,INTENS,private,2016,11000.0,12600.0,,12652.0,PACA,52.0
311,ZEN,pro,2015,26919.0,9300.0,,11656.0,PACA,2356.0
312,LIFE,pro,2015,25765.0,8900.0,0422170181,11656.0,PACA,2756.0
313,INTENS,pro,2014,37500.0,11990.0,0679074514,9768.0,PACA,-2222.0
314,,pro,2015,37487.0,8800.0,,11656.0,Aquitaine,2856.0
315,,private,2014,58000.0,7200.0,,9768.0,Aquitaine,2568.0
316,LIFE,pro,2015,14908.0,9350.0,0533521164,11656.0,Aquitaine,2306.0
317,LIFE,pro,2016,3690.0,9990.0,,12652.0,Aquitaine,2662.0
318,EDITION,private,2018,11500.0,18000.0,,,Aquitaine,
319,LIFE,pro,2014,48008.0,8200.0,0649173452,9768.0,Aquitaine,1568.0
320,LIFE,private,2013,43000.0,7990.0,,8851.0,Aquitaine,861.0
321,ZEN,pro,2018,100.0,21900.0,0533520149,,Aquitaine,
322,LIFE,pro,2015,38501.0,8950.0,0533521164,11656.0,Aquitaine,2706.0
323,LIFE,pro,2015,13798.0,9750.0,0533521164,11656.0,Aquitaine,1906.0
324,ZEN,pro,2015,27799.0,9400.0,0649173452,11656.0,Aquitaine,2256.0
325,INTENS,pro,2015,49183.0,8800.0,0649173452,11656.0,Aquitaine,2856.0
326,INTENS,pro,2014,26921.0,10200.0,,9768.0,Aquitaine,-432.0
327,LIFE,pro,2015,29401.0,9490.0,0533521164,11656.0,Aquitaine,2166.0
328,INTENS,pro,2015,18556.0,9600.0,0533520149,11656.0,Aquitaine,2056.0
329,LIFE,pro,2015,33304.0,8990.0,0533521164,11656.0,Aquitaine,2666.0
330,LIFE,pro,2014,43535.0,9990.0,,9768.0,Aquitaine,-222.0
331,LIFE,pro,2013,7400.0,8990.0,,8851.0,Aquitaine,-139.0
332,LIFE,pro,2015,9110.0,9400.0,0649173452,11656.0,Aquitaine,2256.0
333,ZEN,pro,2017,6900.0,16900.0,,13611.0,Aquitaine,-3289.0
334,ZEN,pro,2018,3200.0,17290.0,,,Aquitaine,
335,LIFE,pro,2015,14802.0,9200.0,0533520149,11656.0,Aquitaine,2456.0
336,LIFE,pro,2015,35778.0,8990.0,0533523315,11656.0,Aquitaine,2666.0
337,LIFE,private,2014,58900.0,7500.0,,9768.0,Aquitaine,2268.0
338,LIFE,pro,2018,100.0,15000.0,0533520972,,Aquitaine,
339,LIFE,pro,2015,21862.0,9890.0,0533523315,11656.0,Aquitaine,1766.0
340,LIFE,pro,2015,30987.0,8700.0,0533520149,11656.0,Aquitaine,2956.0
341,LIFE,pro,2015,34066.0,9390.0,0533523315,11656.0,Aquitaine,2266.0
342,INTENS,pro,2016,24241.0,11390.0,0533520972,12652.0,Aquitaine,1262.0
343,LIFE,pro,2015,15255.0,10990.0,0533520972,11656.0,Aquitaine,666.0
